item_id,kind,title,state,region,category,lat,lng,media_count,difficulty,cost_per_day,duration_days,cuisine
attr-1,attraction,Tirumala Venkateswara Temple,Andhra Pradesh,south,heritage,13.8018,77.6095,1,easy,1500,2,
attr-100,attraction,Gwalior Fort,Madhya Pradesh,central,heritage,22.5078,78.6684,1,easy,1100,1,
attr-101,attraction,Orchha Fort Complex,Madhya Pradesh,central,heritage,22.5078,78.6684,1,easy,1100,1,
attr-102,attraction,Ujjain Mahakaleshwar Temple,Madhya Pradesh,central,heritage,22.5078,78.6684,1,easy,1000,1,
attr-103,attraction,Mandu (Mandavgad) Ruins,Madhya Pradesh,central,heritage,22.5078,78.6684,1,easy,1100,1,
attr-104,attraction,Panna & Ken Gharial Sanctuary (heritage),Madhya Pradesh,central,heritage,22.5078,78.6684,1,easy,1300,2,
attr-105,attraction,Ajanta Caves,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1500,2,
attr-106,attraction,Ellora Caves,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1500,2,
attr-107,attraction,Gateway of India,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1200,1,
attr-108,attraction,Shaniwar Wada,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1000,1,
attr-109,attraction,Aga Khan Palace,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1000,1,
attr-11,attraction,Bomdila Monastery,Arunachal Pradesh,northeast,heritage,27.5387,93.8154,1,easy,1300,1,
attr-110,attraction,Raigad Fort,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1300,2,
attr-111,attraction,Elephanta Caves,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1300,1,
attr-112,attraction,Kolhapur Mahalakshmi Temple,Maharashtra,west,heritage,19.9831,76.4911,1,easy,1100,1,
attr-113,attraction,Kangla Fort,Manipur,northeast,heritage,24.5584,93.8132,1,easy,1000,1,
attr-114,attraction,Loktak Lake & Keibul Lamjao,Manipur,northeast,heritage,24.5584,93.8132,1,easy,1400,2,
attr-115,attraction,Imphal War Cemetery,Manipur,northeast,heritage,24.5584,93.8132,1,easy,1200,1,
attr-116,attraction,Shree Govindajee Temple,Manipur,northeast,heritage,24.5584,93.8132,1,easy,900,1,
attr-117,attraction,Andro Heritage Village,Manipur,northeast,heritage,24.5584,93.8132,1,easy,1100,1,
attr-118,attraction,Khongjom War Memorial,Manipur,northeast,heritage,24.5584,93.8132,1,easy,900,1,
attr-119,attraction,Tharon Cave (local heritage),Manipur,northeast,heritage,24.5584,93.8132,1,easy,1000,1,
attr-12,attraction,Ita Fort,Arunachal Pradesh,northeast,heritage,27.5387,93.8154,1,easy,1000,1,
attr-120,attraction,Manipur State Museum,Manipur,northeast,heritage,24.5584,93.8132,1,easy,800,1,
attr-121,attraction,Living Root Bridges,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1300,1,
attr-122,attraction,Mawphlang Sacred Grove,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1200,1,
attr-123,attraction,Nartiang Monoliths,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1200,1,
attr-124,attraction,Shillong Cathedral & Colonial Sites,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1100,1,
attr-125,attraction,Mawsmai Caves,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1200,1,
attr-126,attraction,Umiam Lake Cultural Spots,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1100,1,
attr-127,attraction,Double Decker Living Root Bridge,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1400,1,
attr-128,attraction,Kyllang Rock & Heritage,Meghalaya,northeast,heritage,25.202,91.9155,1,easy,1100,1,
attr-129,attraction,Reiek Heritage Village,Mizoram,northeast,heritage,22.6552,93.0465,1,easy,1200,1,
attr-13,attraction,Bhismaknagar Ruins,Arunachal Pradesh,northeast,heritage,27.5387,93.8154,1,easy,1200,1,
attr-130,attraction,Tam Dil Lake,Mizoram,northeast,heritage,22.6552,93.0465,1,easy,1300,1,
attr-131,attraction,Hmuifang Cultural Park,Mizoram,northeast,heritage,22.6552,93.0465,1,easy,1200,1,
attr-132,attraction,Vantawng Falls area,Mizoram,northeast,heritage,22.6552,93.0465,1,easy,1200,1,
