user_id,persona,home_state,home_region,home_lat,home_lng,age_band,party,budget,activity,signed_up
u0000000,mountain-walker,Odisha,east,20.2961,85.8245,35-44,friends,moderate,1,2025-05-15
u0000001,heritage-seeker,Rajasthan,north,28.0229,73.3119,35-44,family,comfortable,1,2024-08-17
u0000002,mountain-walker,Assam,northeast,26.95,94.17,18-24,friends,shoestring,1,2024-11-10
u0000003,weekend-escaper,Ladakh,north,34.1526,77.5771,18-24,solo,premium,3,2024-01-29
u0000004,food-first,Rajasthan,north,24.8887,74.6269,35-44,family,premium,1,2025-01-29
u0000005,weekend-escaper,Uttarakhand,north,27.4924,77.6737,18-24,family,moderate,1,2025-07-02
u0000006,food-first,Madhya Pradesh,central,23.1765,75.7885,25-34,family,comfortable,1,2024-09-14
u0000007,mountain-walker,Mizoram,northeast,23.7271,92.7176,25-34,solo,moderate,1,2025-04-19
u0000008,food-first,Assam,northeast,26.95,94.17,35-44,solo,shoestring,2,2025-03-24
u0000009,family-holiday,Rajasthan,north,26.838,70.9,35-44,family,moderate,1,2024-03-15
u0000010,mountain-walker,Rajasthan,north,28.0229,73.3119,45-54,couple,shoestring,2,2025-06-04
u0000011,weekend-escaper,Gujarat,west,22.3072,73.1812,55+,couple,comfortable,2,2024-06-25
u0000012,pilgrim,Bihar,east,24.6961,84.9911,45-54,couple,shoestring,1,2025-07-29
u0000013,weekend-escaper,Rajasthan,north,26.838,70.9,25-34,couple,shoestring,24,2025-09-16
u0000014,family-holiday,Karnataka,south,13.3161,75.772,18-24,couple,moderate,2,2024-08-28
u0000015,food-first,Madhya Pradesh,central,23.2599,77.4126,55+,couple,moderate,1,2025-07-31
u0000016,mountain-walker,Rajasthan,north,28.0229,73.3119,25-34,friends,shoestring,2,2025-05-19
u0000017,mountain-walker,Tripura,northeast,23.8315,91.2868,25-34,solo,moderate,9,2025-09-27
u0000018,family-holiday,Karnataka,south,12.3375,75.8069,35-44,family,shoestring,1,2025-05-05
u0000019,heritage-seeker,Uttar Pradesh,central,27.1767,78.0081,35-44,family,premium,1,2025-01-25
u0000020,heritage-seeker,Madhya Pradesh,central,23.1765,75.7885,18-24,couple,premium,1,2024-04-30
u0000021,mountain-walker,Rajasthan,north,24.5854,73.7125,45-54,solo,moderate,1,2024-05-05
u0000022,beach-and-slow,Maharashtra,west,19.8762,75.3433,25-34,couple,premium,1,2025-05-17
u0000023,food-first,Rajasthan,north,26.4899,74.5511,45-54,couple,comfortable,1,2025-01-23
u0000024,weekend-escaper,Karnataka,south,12.2958,76.6394,45-54,solo,comfortable,1,2024-10-30
u0000025,pilgrim,Gujarat,west,23.0225,72.5714,55+,solo,moderate,1,2025-05-27
u0000026,heritage-seeker,Rajasthan,north,26.838,70.9,18-24,family,moderate,1,2025-02-20
u0000027,heritage-seeker,Uttar Pradesh,central,25.4358,81.8463,55+,couple,comfortable,1,2024-03-21
u0000028,food-first,West Bengal,east,27.06,88.47,18-24,solo,comfortable,1,2025-05-05
u0000029,heritage-seeker,Himachal Pradesh,north,32.01,77.3152,35-44,couple,moderate,2,2024-01-27
u0000030,weekend-escaper,Assam,northeast,26.1445,91.7362,45-54,friends,moderate,2,2024-10-19
u0000031,family-holiday,Uttar Pradesh,central,25.4358,81.8463,35-44,couple,comfortable,1,2024-07-28
u0000032,mountain-walker,Uttarakhand,north,29.53,78.7747,55+,solo,shoestring,1,2024-09-26
u0000033,pilgrim,Maharashtra,west,17.9307,73.6477,45-54,couple,comfortable,1,2024-07-09
u0000034,mountain-walker,Himachal Pradesh,north,32.5387,75.9707,45-54,friends,comfortable,2,2025-08-10
u0000035,mountain-walker,Assam,northeast,26.5775,93.1711,25-34,friends,premium,1,2024-07-12
u0000036,family-holiday,Rajasthan,north,26.4499,74.6399,35-44,couple,moderate,1,2024-10-08
u0000037,beach-and-slow,Bihar,east,24.6961,84.9911,25-34,couple,moderate,4,2024-06-16
u0000038,mountain-walker,Gujarat,west,20.888,70.401,18-24,family,shoestring,4,2024-09-17
u0000039,mountain-walker,Maharashtra,west,19.8762,75.3433,35-44,friends,moderate,1,2025-07-14
u0000040,mountain-walker,West Bengal,east,21.627,87.509,45-54,family,premium,1,2024-07-28
u0000041,weekend-escaper,Kerala,south,11.2588,75.7804,55+,solo,premium,1,2024-06-15
u0000042,mountain-walker,Uttar Pradesh,central,25.4358,81.8463,55+,friends,comfortable,1,2024-07-19
u0000043,mountain-walker,Gujarat,west,22.3072,73.1812,25-34,couple,moderate,1,2024-01-28
